session_id,timestamp,kpm,inter_key_avg,switch_rate,scroll_velocity,scroll_delta,mouse_entropy,idle_ratio,tab_count,domain_switches,time_of_day,cls_target
sess_0000,2026-05-14T08:00:00+00:00,9.9,,0.22,46.36,6.74,0.05,0.02,1,0.14,0.0,0.0
sess_0000,2026-05-14T08:01:00+00:00,10.93,,0.28,50.69,4.75,0.05,0.03,0,0.12,0.0654,0.01
sess_0000,2026-05-14T08:02:00+00:00,10.53,,0.26,45.13,5.73,0.05,0.03,1,0.06,0.1305,0.02
sess_0000,2026-05-14T08:03:00+00:00,9.37,,0.29,55.36,5.84,0.04,0.02,0,0.07,0.1951,0.03
sess_0000,2026-05-14T08:04:00+00:00,10.22,,0.27,46.88,3.24,0.04,0.03,0,0.09,0.2588,0.04
sess_0000,2026-05-14T08:05:00+00:00,9.29,,0.26,45.07,2.31,0.05,0.03,0,0.1,0.3214,0.05
sess_0000,2026-05-14T08:06:00+00:00,9.45,,0.19,51.56,2.78,0.05,0.02,1,0.12,0.3827,0.06
sess_0000,2026-05-14T08:07:00+00:00,10.19,,0.22,48.69,4.69,0.05,0.02,1,0.09,0.4423,0.07
sess_0000,2026-05-14T08:08:00+00:00,10.48,,0.23,48.45,6.58,0.05,0.02,0,0.11,0.5,0.08
sess_0000,2026-05-14T08:09:00+00:00,9.87,,0.27,48.33,1.4,0.06,0.03,1,0.09,0.5556,0.09
sess_0000,2026-05-14T08:10:00+00:00,9.12,,0.25,45.65,2.68,0.05,0.03,0,0.11,0.6088,0.1
sess_0000,2026-05-14T08:11:00+00:00,8.83,,0.23,46.55,4.37,0.05,0.03,0,0.1,0.6593,0.11
sess_0000,2026-05-14T08:12:00+00:00,10.02,,0.23,53.15,3.15,0.05,0.03,1,0.14,0.7071,0.12
sess_0000,2026-05-14T08:13:00+00:00,9.7,,0.24,55.72,5.94,0.06,0.03,0,0.12,0.7518,0.13
sess_0000,2026-05-14T08:14:00+00:00,9.46,,0.28,48.68,4.56,0.05,0.02,1,0.13,0.7934,0.14
sess_0000,2026-05-14T08:15:00+00:00,9.42,,0.24,48.03,4.58,0.05,0.03,1,0.12,0.8315,0.15
sess_0000,2026-05-14T08:16:00+00:00,9.79,,0.26,53.28,4.15,0.05,0.02,0,0.09,0.866,0.16
sess_0000,2026-05-14T08:17:00+00:00,10.26,,0.25,50.85,3.78,0.05,0.02,0,0.06,0.8969,0.17
sess_0000,2026-05-14T08:18:00+00:00,10.93,,0.26,46.48,3.4,0.06,0.03,1,0.1,0.9239,0.18
sess_0000,2026-05-14T08:19:00+00:00,10.03,,0.25,48.15,1.82,0.05,0.02,0,0.09,0.9469,0.19
sess_0000,2026-05-14T08:20:00+00:00,9.29,,0.23,56.05,4.2,0.05,0.03,1,0.12,0.9659,0.2
sess_0000,2026-05-14T08:21:00+00:00,10.34,,0.26,53.22,4.15,0.05,0.02,1,0.1,0.9808,0.21
sess_0000,2026-05-14T08:22:00+00:00,10.68,,0.24,51.17,7.29,0.05,0.02,0,0.15,0.9914,0.22
sess_0000,2026-05-14T08:23:00+00:00,9.95,,0.24,56.13,4.76,0.05,0.03,0,0.07,0.9979,0.23
sess_0000,2026-05-14T08:24:00+00:00,8.8,,0.28,54.82,3.92,0.05,0.02,0,0.1,1.0,0.24
sess_0000,2026-05-14T08:25:00+00:00,9.54,,0.22,53.07,7.79,0.05,0.02,0,0.12,0.9979,0.25
sess_0000,2026-05-14T08:26:00+00:00,10.84,,0.24,51.61,3.34,0.05,0.03,1,0.13,0.9914,0.26
sess_0000,2026-05-14T08:27:00+00:00,9.9,,0.28,48.54,6.45,0.05,0.02,1,0.13,0.9808,0.27
sess_0000,2026-05-14T08:28:00+00:00,10.81,,0.25,48.28,5.15,0.05,0.02,0,0.08,0.9659,0.28
sess_0000,2026-05-14T08:29:00+00:00,9.19,,0.23,48.87,3.89,0.05,0.02,0,0.13,0.9469,0.29
sess_0000,2026-05-14T08:30:00+00:00,9.62,,0.19,51.46,6.08,0.05,0.03,0,0.11,0.9239,0.3
sess_0000,2026-05-14T08:31:00+00:00,9.67,,0.28,49.79,6.04,0.05,0.03,0,0.1,0.8969,0.31
sess_0000,2026-05-14T08:32:00+00:00,8.6,,0.29,47.67,6.04,0.05,0.03,0,0.07,0.866,0.32
sess_0000,2026-05-14T08:33:00+00:00,11.82,,0.25,54.04,4.31,0.05,0.03,1,0.11,0.8315,0.33
sess_0000,2026-05-14T08:34:00+00:00,9.42,,0.25,52.0,6.08,0.05,0.03,0,0.07,0.7934,0.34
sess_0000,2026-05-14T08:35:00+00:00,9.63,,0.25,46.75,6.79,0.05,0.03,1,0.11,0.7518,0.35
sess_0000,2026-05-14T08:36:00+00:00,10.46,,0.25,48.96,3.76,0.05,0.02,1,0.12,0.7071,0.36
sess_0000,2026-05-14T08:37:00+00:00,11.23,,0.23,49.9,1.8,0.05,0.03,0,0.08,0.6593,0.37
sess_0000,2026-05-14T08:38:00+00:00,9.46,,0.26,47.91,4.61,0.06,0.02,0,0.11,0.6088,0.38
sess_0000,2026-05-14T08:39:00+00:00,9.55,,0.28,54.42,7.76,0.05,0.03,1,0.07,0.5556,0.39
sess_0000,2026-05-14T08:40:00+00:00,7.77,,0.26,54.64,5.64,0.05,0.02,0,0.12,0.5,0.4
sess_0000,2026-05-14T08:41:00+00:00,9.9,,0.25,55.09,3.59,0.05,0.02,0,0.12,0.4423,0.41
sess_0000,2026-05-14T08:42:00+00:00,10.12,,0.2,46.95,7.08,0.05,0.03,1,0.14,0.3827,0.42
sess_0000,2026-05-14T08:43:00+00:00,10.29,,0.29,54.1,3.77,0.05,0.03,1,0.08,0.3214,0.43
sess_0000,2026-05-14T08:44:00+00:00,9.19,,0.25,52.29,6.61,0.06,0.02,1,0.11,0.2588,0.44
sess_0000,2026-05-14T08:45:00+00:00,10.75,,0.24,47.77,6.01,0.06,0.03,0,0.08,0.1951,0.45
sess_0000,2026-05-14T08:46:00+00:00,10.06,,0.23,54.43,3.29,0.05,0.02,0,0.1,0.1305,0.46
sess_0000,2026-05-14T08:47:00+00:00,9.87,,0.27,49.42,5.12,0.05,0.02,1,0.1,0.0654,0.47
sess_0000,2026-05-14T08:48:00+00:00,9.52,,0.23,52.92,5.94,0.05,0.02,0,0.07,0.0,0.48
sess_0000,2026-05-14T08:49:00+00:00,9.09,,0.27,45.71,5.38,0.05,0.02,1,0.08,-0.0654,0.49
sess_0000,2026-05-14T08:50:00+00:00,8.92,,0.22,49.22,3.26,0.05,0.02,0,0.12,-0.1305,0.5
sess_0000,2026-05-14T08:51:00+00:00,9.74,,0.25,49.57,4.89,0.05,0.03,1,0.1,-0.1951,0.51
sess_0000,2026-05-14T08:52:00+00:00,10.13,,0.26,52.55,5.14,0.05,0.03,0,0.1,-0.2588,0.52
sess_0000,2026-05-14T08:53:00+00:00,11.54,,0.26,47.61,6.57,0.05,0.02,1,0.11,-0.3214,0.53
sess_0000,2026-05-14T08:54:00+00:00,9.13,,0.21,49.35,7.05,0.06,0.03,1,0.05,-0.3827,0.54
sess_0000,2026-05-14T08:55:00+00:00,9.56,,0.27,49.5,5.34,0.06,0.03,0,0.08,-0.4423,0.55
sess_0000,2026-05-14T08:56:00+00:00,9.03,,0.24,49.69,7.12,0.06,0.02,1,0.13,-0.5,0.56
sess_0000,2026-05-14T08:57:00+00:00,9.89,,0.27,50.03,5.98,0.05,0.03,1,0.08,-0.5556,0.57
sess_0000,2026-05-14T08:58:00+00:00,10.99,,0.27,48.64,5.41,0.05,0.02,0,0.13,-0.6088,0.58
sess_0000,2026-05-14T08:59:00+00:00,9.93,,0.27,48.94,6.49,0.05,0.03,1,0.08,-0.6593,0.59
